Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,A,0,0,0,0,22810000000.0,22830000000.0,20.98,21.25,2.26,4.54,4.47,4.55,18.76,22.25,19.94,7.03,22.93,5020000000.0,15.76,2.7,2690000000.0,1220000000.0,1120000000.0,3.44,-11.2,2160000000.0,6.82,1800000000.0,35.08,3.41,16.15,1030000000.0,643250000.0,1.35,71.09,74.64,2610000.0,315990000.0,315140000.0,0.36,88.24,4130000.0,1.86,1.31,4950000.0
0,0,AA,0,0,0,0,4210000000.0,7150000000.0,,10.18,-2.4,0.32,0.8,0.55,2.84,-1.28,13.88,6.84,6.48,13030000000.0,70.16,-12.0,3320000000.0,2520000000.0,-167000000.0,-0.9,,1020000000.0,5.48,1990000000.0,28.07,1.47,27.8,561000000.0,1030000000.0,1.53,22.34,26.51,3470000.0,185520000.0,185110000.0,6.07,0.0,5960000.0,1.85,4.15,7030000.0
0,0,AAPL,0,0,0,0,943300000000.0,967610000000.0,17.08,16.1,1.47,3.65,8.84,3.74,12.51,22.12,25.34,11.54,49.13,258490000000.0,54.15,-5.1,101840000000.0,77340000000.0,57170000000.0,11.89,-16.4,80090000000.0,17.41,112630000000.0,106.39,1.32,22.98,71860000000.0,45630000000.0,1.09,191.98,182.49,27460000.0,4600000000.0,4350000000.0,0.07,60.95,43450000.0,1.68,0.92,51260000.0
0,0,ABBV,0,0,0,0,105230000000.0,138610000000.0,20.16,7.5,1.38,3.22,,4.25,9.94,16.42,37.13,12.02,,32650000000.0,21.57,-1.3,25040000000.0,13950000000.0,5330000000.0,3.51,-11.7,5230000000.0,3.54,37920000000.0,,1.04,-5.29,13800000000.0,11140000000.0,0.77,76.02,80.13,8600000.0,1480000000.0,1480000000.0,0.09,71.89,28210000.0,2.45,2.16,19600000.0
0,0,ABC,0,0,0,0,19260000000.0,20650000000.0,21.06,12.3,1.81,0.11,6.51,0.12,9.07,0.53,0.99,2.81,27.86,175150000000.0,817.54,5.6,4580000000.0,2280000000.0,929880000.0,4.3,-90.6,2880000000.0,13.68,4640000000.0,152.81,0.95,13.9,2590000000.0,1880000000.0,1.2,83.98,79.86,1400000.0,210180000.0,152820000.0,27.13,67.99,8390000.0,5.99,5.42,8230000.0
0,0,ABT,0,0,0,0,150780000000.0,167340000000.0,57.99,23.74,2.27,4.91,4.88,5.45,22.97,8.53,13.37,3.71,8.28,30720000000.0,17.45,2.0,17920000000.0,7290000000.0,2580000000.0,1.47,60.8,3260000000.0,1.85,19960000000.0,64.13,1.58,17.53,5900000000.0,4510000000.0,0.87,81.47,76.79,5310000.0,1760000000.0,1750000000.0,0.72,76.49,13830000.0,2.84,0.81,13610000.0
0,0,ACE,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,ACI,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,ACN,0,0,0,0,123000000000.0,117410000000.0,26.89,24.21,2.87,2.98,8.97,2.85,17.3,11.34,15.0,15.04,39.09,41240000000.0,64.54,3.8,12440000000.0,6790000000.0,4680000000.0,7.2,19.8,4770000000.0,7.49,23990000.0,0.17,1.34,21.56,6620000000.0,5320000000.0,1.0,183.71,168.56,1800000.0,616670000.0,635900000.0,0.23,72.46,5830000.0,3.52,0.92,6510000.0
0,0,ACT,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
0,0,ADBE,0,0,0,0,149230000000.0,149680000000.0,57.45,31.53,1.68,14.77,15.05,14.82,44.45,26.25,28.55,10.35,28.45,10100000000.0,20.68,25.0,7840000000.0,3370000000.0,2650000000.0,5.35,-4.6,3480000000.0,7.17,4139999999.9999995,41.65,0.69,20.42,4190000000.0000005,2940000000.0,1.05,285.32,265.47,2600000.0,487950000.0,483940000.0,0.28,88.93,3580000.0,1.49,0.73,4930000.0
0,0,ADI,0,0,0,0,42190000000.0,47480000000.0,27.92,20.54,2.32,6.87,3.57,7.74,17.59,24.84,30.88,5.57,13.66,6140000000.0,16.59,-2.4,4230000000.0000005,2700000000.0,1520000000.0,4.06,-8.1,713600000.0,1.93,6040000000.0,51.42,1.52,31.76,2380000000.0,1260000000.0,1.56,106.4,104.12,2790000.0,369760000.0,368470000.0,0.34,92.53,5930000.0,2.12,1.61,4880000.0
0,0,ADM,0,0,0,0,23450000000.0,33240000000.000004,14.43,11.31,-1.46,0.37,1.24,0.52,12.02,2.57,2.83,2.69,8.76,64120000000.00001,113.58,-1.4,4179999999.9999995,2770000000.0,1650000000.0,2.9,-40.7,935000000.0,1.67,10700000000.0,56.44,1.52,33.74,-3240000000.0,1930000000.0,1.02,40.36,42.0,3690000.0,559180000.0,557790000.0,0.32,80.37,9790000.0,2.66,1.96,9080000.0
0,0,ADP,0,0,0,0,72070000000.0,71780000000.0,42.6,27.11,1.78,5.15,13.66,5.13,21.67,12.11,20.83,3.95,36.53,13990000000.0,32.08,4.1,5760000000.0,3310000000.0,1690000000.0,3.86,14.0,1830000000.0,4.21,2000000000.0,38.17,1.04,12.05,2660000000.0,1540000000.0,0.96,164.16,153.58,1760000.0,435230000.0,434610000.0,0.17,81.75,4040000.0,2.86,0.92,3520000.0
0,0,ADSK,0,0,0,0,38410000000.0,39250000000.0,,36.53,0.7,13.99,,14.3,202.96,-0.82,4.03,1.59,,2750000000.0,12.53,31.4,2300000000.0,193400000.0,-22600000.0,-0.1,,972100000.0,4.43,2290000000.0,,0.64,-1.12,615200000.0,609750000.0,1.37,165.03,158.35,1710000.0,219620000.0,219380000.0,0.17,98.68,4650000.0,2.34,2.37,4230000.0
0,0,ADT,0,0,0,0,4670000000.0,14440000000.0,,5.88,0.75,0.99,1.14,3.07,6.22,-11.01,8.07,1.36,-11.68,4710000000.0,6.24,11.3,3540000000.0,2320000000.0,-518190000.00000006,-0.69,,95680000.0,0.13,9840000000.0,237.19,0.44,5.41,1790000000.0,446090000.0,,6.17,6.73,2380000.0,756760000.0,103150000.0,1.2,98.65,37580000.0,12.18,32.93,29960000.0
0,0,AEE,0,0,0,0,18680000000.0,28550000000.0,21.86,21.6,4.77,3.13,2.42,4.77,11.78,14.3,24.22,3.38,11.31,5980000000.0,24.47,-2.0,2790000000.0,2420000000.0,855000000.0,3.48,26.5,8000000.0,0.03,9390000000.0,119.69,0.59,31.37,2300000000.0,-410120000.0,0.23,75.69,71.71,1190000.0,245600000.0,244430000.0,0.42,74.35,4160000.0,3.22,1.93,3310000.0
0,0,AEO,0,0,0,0,2870000000.0,4120000000.0,11.24,9.58,1.59,0.7,2.31,1.01,8.1,6.41,8.24,8.47,21.45,4099999999.9999995,23.37,7.7,1800000000.0,509190000.0,262720000.00000003,1.48,2.1,349670000.0,2.03,1600000000.0,128.49,1.46,7.22,436370000.0,142120000.0,1.08,17.53,20.16,4410000.0,172220000.0,155890000.0,5.86,94.61,16629999.999999998,3.09,14.4,16070000.0
0,0,AEP,0,0,0,0,44780000000.0,72250000000.0,21.81,20.52,3.69,2.76,2.32,4.46,14.16,12.6,18.26,2.71,10.82,16200000000.0,32.87,0.2,6180000000.0,5100000000.0,2040000000.0,4.14,26.1,396600000.0,0.8,27670000000.0,143.4,0.49,38.9,5230000000.0,-2210000000.0,0.16,88.97,82.96,2210000.0,493440000.0,493130000.0,0.02,75.76,8250000.0,3.5,1.67,7070000.0
0,0,AES,0,0,0,0,11150000000.0,31930000000.0,16.67,11.71,1.43,1.05,3.46,3.0,9.66,6.32,21.7,4.37,14.24,10650000000.0,16.07,-3.3,2570000000.0,3300000000.0,454000000.0,1.01,-77.5,1800000000.0,2.72,19980000000.0,350.03,1.34,4.87,2460000000.0,-533250000.0,0.66,16.64,16.79,5830000.0,662400000.0,661250000.0,0.35,97.39,14550000.0,2.68,2.53,14220000.0
0,0,AET,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,AFL,0,0,0,0,41930000000.0,45550000000.0,13.77,12.64,2.12,1.91,1.61,2.08,10.09,14.26,20.35,1.91,12.44,21950000000.0,28.78,3.5,7190000000.0,4510000000.0,3130000000.0,4.09,29.4,4440000000.0,5.96,7870000000.0,30.21,0.43,34.9,6320000000.0,3530000000.0,0.47,54.27,50.04,2950000.0,748850000.0,736590000.0,1.77,70.52,9410000.0,3.13,1.27,9040000.0
0,0,AGN,0,0,0,0,52970000000.0,76850000000.0,,9.73,3.26,3.37,0.88,4.89,10.88,-45.94,3.97,0.37,-10.77,15710000000.0,46.71,-2.0,13520000000.0,7060000000.0,-7220000000.0,-21.46,,1780000000.0,5.44,24060000000.0,39.08,0.71,187.74,5420000000.0,5680000000.0,1.98,139.46,142.66,3920000.0,327800000.0,326950000.0,0.3,88.91,4450000.0,1.54,1.35,3710000.0
