Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Qtrly Revenue Growth,Gross Profit,EBITDA,Net Income Avl to Common,Diluted EPS,Qtrly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior month
2006-06-21 11:01,1150855276,a,20.727505,27.19,98.601349,23.81,13700000000,12620000000,5.08,17.3,1.26,2.53,3.37,2.33,7.549,56.5,9.38,12.15,28.88,5420000000,11.414,12,2520000000,1670000000,1150000000,6.33,21.1,2660000000,6.24,1500000000,0.368,2.565,9.563,725000000,1960000000,2.75,35.35,35.72,2766800,425820000,420030000,5.99,74.8,6920000,3.4,1.6,4620000
2006-08-19 10:42,1155951721,a,20.181709,12.91,103.081429,12.76,13540000000,12260000000,4.63,17.01,1.21,2.54,3.38,2.18,17.215,56.57,8.99,4.54,34.26,5630000000,12.408,-13.9,2520000000,712000000,1330000000,6.87,118.3,2250000000,5.499,1500000000,0.396,2.513,9.563,652000000,1200000000,2.76,29.27,34.2,3040930,425820000,403440000,6.24,72.7,7350000,2.5,1.8,9340000
2007-02-20 17:46,1171961216,a,21.8841,-2.95,116.339935,-5.21,13220000000,12580000000,4.33,15.11,1.13,2.68,3.67,2.53,7.322,66.5,11.12,13.7,37.19,4970000000,11.538,-21,2660000000,1720000000,1440000000,7.499,496,2260000000,5.556,1500000000,0.411,2.573,8.941,634000000,1010000000,2.75,33.0118,32.5942,2657080,407110000,401570000,8.76,67.6,5910000,2.8,1.5,5150000
2007-04-12 5:07,1176322071,a,23.487183,-13.59,115.697647,-6,13970000000,12500000000,4.62,16.1,1.13,2.77,3.87,2.51,7.275,66.5,11.12,13.7,37.19,4970000000,11.538,-21,2660000000,1720000000,1440000000,7.5,496,2260000000,5.556,1500000000,0.411,2.573,9.03,634000000,1010000000,2.75,32.73,33.26,2840540,403650000,401570000,6.26,72,5910000,2.8,1.5,5150000
2008-01-23 19:28,1201084130,a,22.517252,-43.46,108.604774,-36.69,11950000000,12460000000,20.47,13.07,1.04,2.25,3.76,2.3,15.421,11.77,11.38,5.17,18.54,5420000000,13.756,8.9,2970000000,808000000,638000000,1.57,20.8,1830000000,4.916,2090000000,0.645,2.207,8.741,969000000,341750000,1.55,36.33,36.75,2459290,371470000,371230000,1.49,73.8,3640000,1.9,1,3510000
2008-02-14 4:44,1202931874,a,21.244215,-41.44,109.667633,-37.3,12140000000,12090000000,20.8,13.34,1.02,2.18,3.64,2.23,14.966,11.77,11.38,5.17,18.54,5420000000,13.756,8.9,2970000000,808000000,638000000,1.57,20.8,1830000000,4.916,2090000000,0.645,2.207,8.741,969000000,341750000,1.45,34.62,36.02,2983550,371470000,365900000,1.49,72.5,4890000,1.7,1.3,3640000
2008-04-26 4:49,1209152963,a,21.237478,-46.4,113.822563,-36.29,11510000000,12080000000,20.59,13.03,1,2.07,3.65,2.18,14.748,10.99,11.3,5.33,17.8,5530000000,14.362,8.8,2970000000,819000000,608000000,1.53,-20,1560000000,4.265,2130000000,0.67,1.896,8.622,880000000,-1680000000,1.46,30.42,33.98,2972050,365040000,358100000,4.68,68.3,5420000,2.1,1.5,0
2008-12-06 19:21,1228558893,a,11.625716,73,72.4692,29.52,6040000000,6740000000,9.24,7.64,0.64,1.06,2.4,1.17,6.764,12,13.77,6.63,23.93,5770000000,15.906,2.4,2970000000,996000000,693000000,1.87,28.3,1430000000,4.083,2130000000,0.83,2.421,7.311,756000000,195000000,1.33,20.28,30.55,3241510,350000000,340890000,1.59,75.9,4340000,1.6,1.2,4420000
2011-08-02 6:45,1312235137,a,26.22859,-1.47,109.78656,11.97,14200000000,13850000000,16.18,12.44,0.63,2.38,3.71,2.25,11.89,14.46,14.8,6.94,27,6160000000,17.77,31.9,2930000000,1160000000,890000000,2.52,85.2,2980000000,8.55,2150000000,54.36,3.2,11.36,961000000,1930000000,1.55,47.83,46.32,3825080,348040000,345630000,0.25,82.1,4360000,1.2,1.4,5420000
2013-05-14 0:28,1368458938,a,29.998304,28.27,150.130219,16.73,14940000000,15060000000,13.75,13.08,2.07,2.19,2.83,2.18,10.75,15.96,15.69,6.85,22.38,6900000000,19.85,2.8,3600000000,1400000000,1100000000,3.13,-22.2,2450000000,7.06,2360000000,44.12,2.55,15.41,1320000000,737380000,1.66,42.08,41.25,3715590,347160000,346140000,0.23,83.2,4370000,1.2,1.3,3080000
